record_id,airline_code,airline_name,flight_number,origin_airport,destination_airport,departure_datetime,arrival_datetime,duration_min,status,delay_min,aircraft_type,cabin_class,seat,passenger_id,passenger_gender,passenger_age,passenger_nationality,booking_datetime,sales_channel,payment_method,ticket_price,currency,ticket_price_usd_est,bags_total,bags_checked
14,FR,RYANAIR,FR6292,LAX,SAP,12-27-2024 04:00 AM,27/12/2024 08:49,271,ON_TIME,0,E190,ECONOMY,41F,21ebdba7-16cb-4925-81e3-5ba69426a662,Femenino,19,ES,10-21-2024 06:20 AM,AEROPUERTO,TRANSFERENCIA,92.9,USD,92.9,3,2
15,AA,American Airlines,AA4051,HAV,CUN,26/11/2024 05:17,26/11/2024 11:03,157,DELAYED,188,B777,ECONOMY,17E,b02b9caf-10e1-4377-8bdb-135a9ccf910c,F,26,SV,28/09/2024 00:26,CALL_CENTER,PUNTOS,73.55,EUR,80.17,1,0
16,CM,COPA AIRLINES,CM6390,SAL,MIA,08/07/2025 05:26,07/08/2025 08:42,191,ON_TIME,0,B757,ECONOMY,33A,e17e7f2d-7fcc-41c8-bb9f-7072f42fb70e,m,26,PE,10/04/2025 00:41,APP,TARJETA,155.76,USD,155.76,1,0
17,B6,JetBlue,B64559,JFK,GUA,14/01/2025 05:15,14/01/2025 07:59,157,ON_TIME,0,B738,ECONOMY,26F,2b55128f-ba79-44ed-b532-6e0b923c3a52,F,33,MX,27/09/2024 14:17,APP,PUNTOS,56.25,USD,56.25,2,1
18,BA,British Airways,BA5112,BOG,SAP,02/10/2024 10:56,10/02/2024 14:44,224,ON_TIME,0,B757,PREMIUM_ECONOMY,11A,17b4ba01-32a0-41b5-b34b-e6bb9018f748,M,44,GT,22/11/2023 06:41,APP,PAYPAL,71.73,GTQ,9.18,1,0
19,AA,American Airlines,AA8818,LIM,sjo,20/06/2025 09:59,20/06/2025 16:10,366,ON_TIME,0,CRJ9,ECONOMY,43F,d31d8eae-32b7-48b1-b64c-ae56e9845cbf,F,36,CR,11/03/2025 08:37,AEROPUERTO,PAYPAL,41.02,GTQ,5.25,0,0
20,UA,United,UA0283,SAL,BOG,04/08/2024 15:35,08/04/2024 22:50,275,DELAYED,155,CRJ9,ECONOMY,28C,c412d449-b67a-42bc-b23d-f59c13f5ad16,Femenino,16,CO,11/07/2024 00:22,AGENCIA,TRANSFERENCIA,87.26,USD,87.26,2,1
21,AM,Aeromexico,AM2940,BCN,LIM,05/03/2025 21:29,06/03/2025 02:57,316,ON_TIME,0,A319,ECONOMY,26C,56195096-fe30-47bc-a6de-aa62f3d9281c,M,43,ES,01-31-2025 02:22 PM,APP,TRANSFERENCIA,86.49,USD,86.49,1,0
22,WN,Southwest,WN7382,LAX,jfk,25/06/2025 16:48,25/06/2025 18:58,109,ON_TIME,0,B787,ECONOMY,25D,de70edaa-9a05-4c20-8837-63dfa03d9c81,M,32,MX,18/06/2025 07:53,CALL_CENTER,TARJETA,73.3,MXN,4.25,1,0
23,B6,JetBlue,B63684,SAL,MEX,04-18-2025 12:20 PM,18/04/2025 13:58,95,ON_TIME,0,A319,ECONOMY,18B,4d67f77b-4318-4a9d-bfd4-9b50c2d4ce76,M,14,SV,28/03/2025 11:54,CALL_CENTER,PUNTOS,63.31,USD,63.31,0,0
24,IB,Iberia,IB2871,LIM,SAP,04/08/2025 17:35,08/04/2025 23:19,336,ON_TIME,0,B738,ECONOMY,25F,59176173-a550-473c-a59b-530ddea1e321,F,28,HN,26/05/2025 02:07,WEB,PUNTOS,117.92,USD,117.92,1,0
25,FR,Ryanair,FR7243,HAV,SJO,16/01/2025 22:25,17/01/2025 00:16,91,ON_TIME,0,B777,ECONOMY,37A,57ff6a71-ff10-4eff-9f9a-287281b35ed1,M,38,PA,10/12/2024 01:00,AEROPUERTO,TARJETA,43.94,USD,43.94,1,0
26,BA,British Airways,BA6799,BCN,SAP,04/04/2024 07:32,04/04/2024 08:36,59,ON_TIME,0,B738,ECONOMY,16E,fb0354d5-7dcc-4014-903f-6829eb9fb32b,M,38,SV,04/02/2024 03:51,APP,PAYPAL,71.18,EUR,77.59,1,0
27,IB,Iberia,IB9670,LIM,PTY,26/03/2025 10:33,03-26-2025 07:20 PM,382,DELAYED,124,B767,ECONOMY,27C,ac03d672-7de2-4a6a-b541-cd6e1ed70986,F,25,PE,01-25-2025 11:38 PM,APP,EFECTIVO,100.9,USD,100.9,1,0
28,AV,AVIANCA,AV1647,SAP,MEX,21/04/2024 23:15,22/04/2024 03:28,254,ON_TIME,0,A320,PREMIUM_ECONOMY,13C,878a31e4-1663-4007-a347-883165eda244,F,47,CU,04/10/2024 12:21,AEROPUERTO,PAYPAL,152.33,EUR,166.04,1,0
29,IB,Iberia,IB6952,MIA,BCN,18/10/2024 03:32,18/10/2024 07:56,265,ON_TIME,0,B738,ECONOMY,37B,b1484484-85cb-4601-adaf-c5012df7d5b8,M,23,CR,27/06/2024 14:53,APP,PAYPAL,73.1,MXN,4.24,0,0
30,CM,Copa Airlines,CM1592,SAL,HAV,03/07/2024 05:50,07/03/2024 10:02,240,ON_TIME,0,B738,FIRST,2A,a3e40f6c-b025-43df-8449-cd5abf98be1d,M,38,GT,20/04/2024 08:01,WEB,PUNTOS,435.48,GTQ,55.74,2,1
31,AM,Aeromexico,AM9132,SAP,LAX,12/04/2024 01:41,12/04/2024 03:20,91,ON_TIME,0,A320,ECONOMY,22B,160a23a6-8115-4847-ab03-31ee15df795f,F,27,CO,03/02/2024 08:43,AGENCIA,EFECTIVO,76.33,USD,76.33,2,1
32,AM,Aeromexico,AM6079,SJO,JFK,04/08/2025 18:35,05/08/2025 01:10,389,ON_TIME,0,B777,PREMIUM_ECONOMY,13A,2c610753-e7ee-47fb-8f90-6aeb5591c438,masculino,19,GT,16/05/2025 01:15,AEROPUERTO,EFECTIVO,72.35,GTQ,9.26,1,0
33,DL,Delta,DL0829,MAD,BOG,23/05/2025 16:37,23/05/2025 18:33,95,ON_TIME,0,A319,BUSINESS,6A,b37ccbf5-c063-4263-8a99-b0c5bbc9793c,M,44,PA,27/03/2025 08:43,AGENCIA,TARJETA,288.05,EUR,313.97,1,0
34,WN,Southwest,WN1787,CUN,SJO,31/03/2025 10:58,31/03/2025 13:37,155,ON_TIME,0,B787,ECONOMY,44E,16e1d9eb-0a12-4e26-9102-5695c2a0671e,Masculino,33,MX,03-13-2025 05:42 PM,APP,TARJETA,115.73,GTQ,14.81,0,0
35,FR,RYANAIR,FR9034,BOG,MAD,22/08/2024 06:47,08-22-2024 11:17 AM,279,ON_TIME,0,B767,ECONOMY,28D,cb4f6972-510a-4973-bc81-86a3b9d945b8,M,38,PA,12/08/2024 04:27,AEROPUERTO,EFECTIVO,64.99,USD,64.99,1,0
36,CM,Copa Airlines,CM0843,MAD,JFK,19/11/2024 02:36,11-19-2024 09:30 AM,418,ON_TIME,0,B739,ECONOMY,24C,b704cede-87c6-4584-b538-c22841ecf7e2,F,38,PA,09/11/2024 23:43,WEB,TARJETA,139.53,USD,139.53,2,1
37,DL,Delta,DL1141,SJO,GUA,09/01/2025 12:39,09/01/2025 15:14,159,ON_TIME,0,A320,ECONOMY,19C,a889d979-0c73-44c2-ab45-fbff259afe69,M,33,PE,21/09/2024 18:50,AEROPUERTO,PUNTOS,140.84,GTQ,18.03,1,0
38,LA,LATAM,LA0745,MAD,LIM,18/12/2024 08:34,18/12/2024 12:13,219,ON_TIME,0,A320,ECONOMY,40E,bb56a078-2a9b-4b7f-86b4-6935483c00c7,M,,GT,28/11/2024 02:46,AEROPUERTO,TARJETA,108.6,GTQ,13.9,1,0
39,UA,United,UA7539,hav,GUA,04-16-2024 02:14 PM,16/04/2024 17:17,175,ON_TIME,0,A321,ECONOMY,39D,8b66a84a-30c4-4da5-bd73-6f8fa4cb669a,M,35,HN,16/01/2024 06:42,AEROPUERTO,TRANSFERENCIA,73.36,USD,73.36,2,1
40,LA,LATAM,LA8096,LIM,PTY,07/11/2024 00:55,07/11/2024 06:03,313,ON_TIME,0,B787,ECONOMY,26B,192b409e-3145-4426-ba04-48c1cfb006c7,F,35,SV,09/01/2024 04:48,AEROPUERTO,PUNTOS,40.62,USD,40.62,2,1
41,B6,JetBlue,B67369,PTY,LIM,08/05/2025 10:49,05/08/2025 19:53,364,DELAYED,170,B737,ECONOMY,30A,c923aad6-7e47-4ad1-adce-81aeac9b710d,M,31,ES,26/01/2025 02:12,WEB,TRANSFERENCIA,92.29,USD,92.29,1,0
42,DL,Delta,DL9875,SAL,MEX,15/12/2024 22:21,16/12/2024 00:09,97,DIVERTED,0,B787,ECONOMY,36B,58979d82-08c9-42ac-9006-78158682a4a5,M,53,PA,10-19-2024 05:48 AM,AEROPUERTO,EFECTIVO,67.94,USD,67.94,2,1
43,IB,Iberia,IB8844,PTY,HAV,26/06/2025 12:36,26/06/2025 19:15,384,ON_TIME,0,A320,ECONOMY,18C,42d67ef8-b040-4db4-b516-9966fbf8f582,M,23,CO,03-13-2025 07:54 AM,AEROPUERTO,TARJETA,68.33,GTQ,8.75,1,0
44,B6,JetBlue,B66257,MEX,MIA,08/04/2025 21:28,04/09/2025 01:24,237,ON_TIME,0,A319,PREMIUM_ECONOMY,15B,777a4bf6-c7af-4c95-81c5-f64ad8deb98a,M,45,PE,02-19-2025 11:42 PM,APP,PAYPAL,123.36,USD,123.36,2,1
45,DL,Delta,DL1624,JFK,BOG,02/10/2024 12:42,02/10/2024 21:46,373,DELAYED,151,A319,BUSINESS,9E,bb56a403-7eb2-4bcb-a318-6873b27ed1ee,M,27,MX,05/01/2024 21:45,AEROPUERTO,EFECTIVO,214.46,MXN,12.44,0,0
46,CM,Copa Airlines,cm7033,SJO,lim,10/07/2025 13:01,07/10/2025 15:17,116,ON_TIME,0,B787,ECONOMY,18A,32e59c09-72d7-44a4-a8cc-1012e4fccb77,M,35,,27/07/2025 13:23,AEROPUERTO,PAYPAL,114.32,USD,114.32,1,0
47,AA,American Airlines,AA7841,bog,BCN,07/10/2024 02:08,07/10/2024 03:50,79,ON_TIME,0,A321,PREMIUM_ECONOMY,15E,8e91f1a6-5b7d-4da6-94b6-de2f2440c0cf,M,24,PA,09-30-2024 05:44 AM,AGENCIA,TRANSFERENCIA,98.05,GTQ,12.55,1,0
48,AV,Avianca,AV8508,LAX,MIA,06/05/2024 13:55,05/06/2024 16:34,67,DELAYED,90,B757,BUSINESS,8D,15692a30-13d7-4f79-8505-af92ee4f144a,M,28,GT,28/02/2024 17:43,AGENCIA,TRANSFERENCIA,107.36,MXN,6.23,0,0
49,DL,Delta,DL9955,BOG,HAV,16/08/2024 04:12,08-16-2024 07:37 AM,209,ON_TIME,0,A319,ECONOMY,25D,c62c6b89-fd64-4eeb-b58d-aad1203a0cf0,Femenino,37,MX,05-18-2024 01:50 PM,CALL_CENTER,TARJETA,89.24,GTQ,11.42,2,1
50,AM,Aeromexico,AM8048,MIA,BOG,24/10/2024 08:55,24/10/2024 14:22,335,ON_TIME,0,A321,ECONOMY,27C,f55b5be0-13a3-4f6c-bf48-934437f5712e,F,34,CR,10/05/2024 16:32,CALL_CENTER,TRANSFERENCIA,75.03,GTQ,9.6,1,0
51,CM,Copa Airlines,CM7843,SAL,BOG,09-21-2025 01:03 PM,21/09/2025 19:47,394,ON_TIME,0,B787,ECONOMY,33E,b88ec5f1-7a72-4041-86bf-7a8ea3d807bb,F,15,MX,06-20-2025 02:04 PM,APP,TRANSFERENCIA,70.3,USD,70.3,0,0
52,FR,Ryanair,FR8741,SAL,LAX,15/12/2024 12:07,12-15-2024 05:13 PM,283,ON_TIME,0,B787,PREMIUM_ECONOMY,15F,ecf482ed-6211-49fd-bd5b-7c75bb3f9d61,M,29,MX,19/10/2024 19:09,WEB,TARJETA,"83,04",USD,83.04,1,0
53,FR,Ryanair,FR7934,PTY,LAX,13/07/2025 17:34,07-14-2025 02:13 AM,354,DELAYED,154,A319,ECONOMY,43A,8f18b0f0-4a93-4562-9777-163d2dc7a93c,M,31,CU,04/04/2025 23:18,APP,PUNTOS,93.82,USD,93.82,1,0
54,BA,BRITISH AIRWAYS,BA1476,MIA,JFK,11/05/2024 16:36,11/05/2024 18:40,111,ON_TIME,0,B737,ECONOMY,23D,10c8fab7-fce2-4174-8837-62168bbc50d2,M,58,US,17/10/2024 13:33,AGENCIA,PAYPAL,86.58,MXN,5.02,1,0
55,AV,Avianca,AV5556,LAX,MEX,19/01/2025 09:29,19/01/2025 15:39,350,ON_TIME,0,A319,ECONOMY,19D,d4f3410f-242d-4b83-a253-e265faf01720,F,37,CO,12/10/2024 21:06,WEB,PAYPAL,79.36,USD,79.36,1,0
56,WN,Southwest,WN9564,GUA,PTY,05/02/2024 04:30,02/05/2024 05:32,64,ON_TIME,0,CRJ9,PREMIUM_ECONOMY,15D,163b1789-f8f3-4510-b83b-a91477205cbd,F,9,HN,17/01/2024 17:31,AEROPUERTO,TRANSFERENCIA,108.95,USD,108.95,3,2
57,IB,Iberia,IB5326,pty,HAV,31/08/2025 02:23,31/08/2025 10:47,341,DELAYED,159,B757,ECONOMY,32F,00d57913-4cd1-44e9-a978-329dbce4c43e,F,34,PE,11/08/2025 05:08,WEB,PUNTOS,192.89,EUR,210.25,0,0
58,WN,Southwest,WN4713,MIA,CUN,28/02/2025 07:16,28/02/2025 11:08,226,ON_TIME,0,B767,ECONOMY,23C,6a7c8bd7-c0eb-48fd-82e5-e92bb4ca242f,M,31,ES,20/11/2024 21:31,APP,PAYPAL,90.52,USD,90.52,1,0
59,UA,UNITED,UA7823,CUN,LIM,05/10/2025 02:08,,,CANCELLED,,B738,ECONOMY,,42dbc5df-5ed6-467a-9659-a84fb24d5c46,m,33,CR,03/09/2025 19:05,AEROPUERTO,EFECTIVO,54.11,GTQ,6.93,0,0
60,AA,American Airlines,AA8262,PTY,SAP,21/03/2025 22:37,22/03/2025 05:31,163,DELAYED,227,A321,BUSINESS,5D,48b4a92e-6a17-4557-aa35-be7ddfea655d,F,48,GT,03/12/2024 09:47,CALL_CENTER,EFECTIVO,233.13,EUR,254.11,3,2
61,FR,Ryanair,FR4286,JFK,LIM,12/07/2025 03:38,07/12/2025 09:20,140,DELAYED,212,A320,ECONOMY,37B,5d3c820f-97cc-44c0-aee1-a3b2d1337afe,Femenino,44,CU,18/03/2025 14:46,CALL_CENTER,PUNTOS,59.25,USD,59.25,1,0
62,DL,Delta,DL9244,MAD,LAX,16/06/2025 21:20,17/06/2025 02:31,302,ON_TIME,0,B777,ECONOMY,25C,1c6ee1d0-6ec6-4037-9e43-5ab3e5540787,M,52,MX,15/04/2025 16:51,AEROPUERTO,TRANSFERENCIA,49.87,USD,49.87,1,0
63,DL,Delta,DL0988,LAX,HAV,25/10/2025 16:46,25/10/2025 22:15,311,ON_TIME,0,B767,ECONOMY,34D,3752c314-e482-4a44-9f22-90d63276e123,f,41,PA,13/07/2025 15:17,APP,PUNTOS,175.33,USD,175.33,1,0
64,DL,Delta,DL5672,HAV,GUA,13/05/2025 06:53,13/05/2025 14:07,418,ON_TIME,0,CRJ9,BUSINESS,7D,8beb047f-f3e0-411a-b392-9091da752ca2,Masculino,21,CU,20/01/2025 13:45,AGENCIA,TARJETA,146.98,USD,146.98,1,0
65,FR,Ryanair,FR8541,MAD,LIM,22/04/2025 14:59,04-22-2025 03:57 PM,53,ON_TIME,0,A320,ECONOMY,17D,e79af89f-c957-4a74-a7fd-7ef0b8413051,F,35,GT,20/03/2025 15:57,CALL_CENTER,PAYPAL,68.29,USD,68.29,1,0
66,BA,British Airways,BA4178,CUN,MEX,01/05/2025 05:21,05/01/2025 12:10,392,ON_TIME,0,B767,ECONOMY,27F,285edbb9-f25b-48f8-969b-b5122aaecff7,M,13,HN,20/03/2025 06:55,CALL_CENTER,EFECTIVO,"83,43",USD,83.43,1,0
67,BA,British Airways,BA3922,CUN,MAD,10/02/2024 00:42,10/02/2024 03:58,182,ON_TIME,0,B757,ECONOMY,43A,4199a260-abe0-4515-9a41-84430cb677ba,F,20,CR,08/11/2023 03:07,APP,PAYPAL,96.14,USD,96.14,2,1
68,IB,Iberia,IB8006,JFK,PTY,06/10/2024 08:15,06/10/2024 13:43,307,ON_TIME,0,B767,PREMIUM_ECONOMY,14C,e460a8f8-1901-40f8-a399-25eb2224dba2,M,22,PE,29/09/2024 13:20,APP,EFECTIVO,189.16,USD,189.16,1,0
69,AM,Aeromexico,AM0275,cun,SAL,18/04/2024 17:00,19/04/2024 00:17,413,ON_TIME,0,B738,BUSINESS,8F,9add96f8-5554-437e-ba30-b912e0e30c93,F,23,SV,01/03/2024 19:57,WEB,PAYPAL,160.09,USD,160.09,1,0
70,FR,Ryanair,FR2808,MAD,SAP,09-18-2025 04:03 AM,18/09/2025 08:39,136,DELAYED,144,E190,ECONOMY,22E,e429af26-4df7-4d35-8146-0db295699cff,M,44,CO,13/08/2025 15:58,AGENCIA,PAYPAL,"52,94",USD,52.94,1,0
71,AA,American Airlines,AA8857,BOG,lim,14/12/2025 22:14,12-14-2025 11:24 PM,66,ON_TIME,0,A319,PREMIUM_ECONOMY,15D,8259aac7-6fe9-484e-9865-9462cacbd8e7,M,36,SV,17/09/2025 13:17,AEROPUERTO,PUNTOS,173.75,GTQ,22.24,1,0
72,AA,American Airlines,AA2528,BOG,MEX,02/08/2025 00:19,02/08/2025 03:54,222,ON_TIME,0,A321,ECONOMY,18C,ba95572e-4f1c-44e8-a045-806bdd0f2140,Femenino,13,CR,06/11/2025 14:18,AGENCIA,PAYPAL,86.89,USD,86.89,1,0
73,CM,Copa Airlines,CM4398,MIA,bog,08-14-2025 08:31 AM,14/08/2025 11:30,183,ON_TIME,0,B757,ECONOMY,30E,ecbb1d12-5e58-44c6-a53e-0aba43fe10d4,F,37,SV,10/08/2025 06:09,AEROPUERTO,TARJETA,107.09,USD,107.09,2,1
74,AA,American Airlines,AA8045,MIA,BOG,14/07/2024 12:01,14/07/2024 15:13,171,ON_TIME,0,B739,ECONOMY,19B,0b193459-3585-4271-a442-8833da08baf6,M,17,PE,05-31-2024 04:37 PM,AGENCIA,PAYPAL,51.31,USD,51.31,2,1
75,LA,LATAM,LA8301,MIA,LIM,29/03/2024 11:01,29/03/2024 16:36,333,ON_TIME,0,B757,ECONOMY,37E,c1937f46-9dd6-4f99-a9dc-e7dc99848426,F,40,PA,12-29-2023 04:33 AM,AGENCIA,TARJETA,90.37,MXN,5.24,2,1
76,AM,Aeromexico,AM0403,sjo,PTY,26/11/2025 13:21,26/11/2025 18:35,319,ON_TIME,0,A321,ECONOMY,37C,d4ae914e-e823-4744-8621-5bf79b499bf2,F,37,GT,09-13-2025 04:38 PM,CALL_CENTER,TRANSFERENCIA,91.95,EUR,100.23,1,0
77,DL,Delta,DL3054,MIA,LAX,08-30-2024 06:03 AM,30/08/2024 12:25,220,DELAYED,143,A320,ECONOMY,31A,8ab0b094-14de-4fdd-aea2-2e0a8be7b602,F,25,PA,07-20-2024 03:44 AM,WEB,TARJETA,88.35,USD,88.35,1,0
78,CM,Copa Airlines,CM9670,LIM,SJO,29/11/2024 15:26,29/11/2024 19:20,244,ON_TIME,0,A321,ECONOMY,40F,ba7209bc-7045-47bb-89fc-f5fbec7299d2,F,37,HN,05/11/2024 04:06,APP,PAYPAL,63.43,USD,63.43,1,0
79,AM,Aeromexico,AM8057,SJO,BOG,19/04/2024 19:06,04-20-2024 12:26 AM,306,ON_TIME,0,B767,ECONOMY,28D,47b78784-2537-48fd-b1f9-243962857e94,F,58,HN,20/01/2024 22:07,APP,PUNTOS,96.14,USD,96.14,1,0
80,UA,United,UA0529,LAX,JFK,01-26-2024 09:28 AM,01-26-2024 12:37 PM,185,ON_TIME,0,A321,ECONOMY,30E,5ef4ae8e-3388-4334-8617-d9df63b055c1,F,18,PA,11-15-2023 05:21 PM,AEROPUERTO,TARJETA,102.49,USD,102.49,1,0
81,UA,United,UA4544,CUN,SJO,21/09/2025 16:35,22/09/2025 01:19,346,DELAYED,166,A319,ECONOMY,21E,92fec31b-d52d-4eb8-ba44-6fd9af300323,F,21,US,09/06/2025 14:59,AGENCIA,PUNTOS,107.28,USD,107.28,1,0
82,UA,UNITED,UA6517,SAP,SJO,17/10/2025 05:01,10-17-2025 11:47 AM,391,ON_TIME,0,B737,ECONOMY,24F,c06f1ee4-158c-461a-8852-cb659cb221f2,M,49,SV,27/07/2025 02:36,AEROPUERTO,TRANSFERENCIA,61.12,GTQ,7.82,2,1
83,IB,Iberia,IB2712,MIA,MEX,01/03/2025 02:36,01/03/2025 08:14,340,ON_TIME,0,CRJ9,ECONOMY,26F,05fd9397-adc1-4929-9a7e-be90baf410f4,M,46,CU,19/11/2024 12:35,WEB,EFECTIVO,94.11,USD,94.11,0,0
84,FR,Ryanair,FR1121,SAL,LIM,06-30-2025 01:52 PM,30/06/2025 15:15,93,ON_TIME,0,E190,ECONOMY,34B,cbee1ff5-679a-4c9a-a7bf-28f83e323c69,F,44,GT,27/06/2025 15:31,WEB,PAYPAL,158.2,GTQ,20.25,1,0
85,UA,United,UA8349,PTY,MIA,04/08/2025 04:44,04/08/2025 07:02,122,ON_TIME,0,E190,ECONOMY,22A,eae76a1e-9d35-4842-b974-3fa4ea5a4fac,M,30,SV,05-19-2025 05:20 AM,AGENCIA,PAYPAL,62.56,USD,62.56,0,0
86,UA,United,UA6807,BOG,GUA,26/10/2024 17:25,26/10/2024 19:12,102,ON_TIME,0,E190,ECONOMY,32A,053c744d-1c11-4335-94e6-a3d37b90c586,f,22,MX,05/09/2024 22:59,AGENCIA,PUNTOS,"61,22",GTQ,7.84,2,1
87,IB,Iberia,IB0186,SAL,bcn,28/08/2024 17:04,,,CANCELLED,,B777,BUSINESS,,5506cbe2-6078-4457-8cc5-093d677eeb84,F,32,PE,06/12/2024 20:16,WEB,TRANSFERENCIA,201.92,GTQ,25.85,2,1
88,IB,Iberia,IB4007,CUN,GUA,15/10/2024 20:08,15/10/2024 22:44,109,DELAYED,40,A319,ECONOMY,16C,d4d3801d-1161-4d3f-baa3-f8c7fdbfb380,M,37,SV,09/10/2024 21:32,WEB,PAYPAL,108.8,USD,108.8,1,0
89,AV,Avianca,AV4980,LIM,SAL,15/09/2025 19:09,16/09/2025 02:15,410,ON_TIME,0,B739,ECONOMY,45F,685db692-7cc9-4844-be6e-3368a4380aff,M,34,SV,03/07/2025 08:02,,TARJETA,135.47,USD,135.47,2,1
90,UA,United,UA1392,SAP,LAX,30/11/2025 09:28,11-30-2025 02:57 PM,324,ON_TIME,0,E190,BUSINESS,4B,fb3caeb7-c3e9-4e76-abf7-74df6472ba2a,M,30,GT,18/10/2025 08:40,CALL_CENTER,TRANSFERENCIA,464.29,USD,464.29,1,0
91,B6,JetBlue,B61482,SAL,MEX,03/12/2024 20:40,04/12/2024 03:02,384,ON_TIME,0,CRJ9,ECONOMY,26D,5dd4ad62-0d86-4937-b0bb-019f2e4529e0,F,42,CO,23/10/2024 06:23,APP,TARJETA,60.34,EUR,65.77,0,0
92,AM,Aeromexico,AM1377,MEX,LIM,03/11/2024 20:19,,,CANCELLED,,A321,ECONOMY,,f63aa339-000f-40d6-af01-3eaf62998c3b,F,20,ES,27/11/2023 15:18,CALL_CENTER,PAYPAL,96.43,USD,96.43,1,0
93,FR,RYANAIR,FR1438,BCN,SAL,20/09/2025 14:25,20/09/2025 19:52,110,DELAYED,222,B737,PREMIUM_ECONOMY,11A,afbb97ef-83a3-499c-859d-f03d3beaa6e9,M,31,CR,07-25-2025 03:00 PM,CALL_CENTER,TARJETA,141.17,USD,141.17,1,0
